GuardiumVersion,OSName,OSVersion,Database,DatabaseVersion,Network traffic,Instance Discovery,Protocol,Notes
11.3,Red Hat,Red Hat 7.6,MongoDB,MongoDB 4.4,UC,,N/A,"supported: MongoDB mgo client (version 2) 3.2.1, 3.4.2, 3.6, 4.0; MongoDB Compass client (versions 1.14, 1.15, 1.16 (3.6, 4.0); Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE)"
11.3,Suse,"Suse 11 (32 bit & 64 bit)",MongoDB,MongoDB 4.4,UC,,N/A,"supported: MongoDB mgo client (version 2) 3.2.1, 3.4.2, 3.6, 4.0; MongoDB Compass client (versions 1.14, 1.15, 1.16 (3.6, 4.0)"
11.3,Red Hat,Red Hat 7.5,MongoDB,MongoDB 4.4,UC,,N/A,"supported: MongoDB mgo client (version 2) 3.2.1, 3.4.2, 3.6, 4.0; MongoDB Compass client (versions 1.14, 1.15, 1.16 (3.6, 4.0); Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE)"
11.3,Red Hat,Red Hat 7.4,MongoDB,MongoDB 4.4,UC,,N/A,"supported: MongoDB mgo client (version 2) 3.2.1, 3.4.2, 3.6, 4.0; MongoDB Compass client (versions 1.14, 1.15, 1.16 (3.6, 4.0); Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE)"
11.3,Red Hat,Red Hat 7.3,MongoDB,MongoDB 4.4,UC,,N/A,"supported: MongoDB mgo client (version 2) 3.2.1, 3.4.2, 3.6, 4.0; MongoDB Compass client (versions 1.14, 1.15, 1.16 (3.6, 4.0); Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE)"
11.3,Red Hat,Red Hat 7.2,MongoDB,MongoDB 4.4,UC,,N/A,"supported: MongoDB mgo client (version 2) 3.2.1, 3.4.2, 3.6, 4.0; MongoDB Compass client (versions 1.14, 1.15, 1.16 (3.6, 4.0); Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE)"
11.3,Red Hat,Red Hat 7.1,MongoDB,MongoDB 4.4,UC,,N/A,"supported: MongoDB mgo client (version 2) 3.2.1, 3.4.2, 3.6, 4.0; MongoDB Compass client (versions 1.14, 1.15, 1.16 (3.6, 4.0); Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE)"
11.3,Red Hat,Red Hat 7,MongoDB,MongoDB 4.4,UC,,N/A,"supported: MongoDB mgo client (version 2) 3.2.1, 3.4.2, 3.6, 4.0; MongoDB Compass client (versions 1.14, 1.15, 1.16 (3.6, 4.0); Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE)"
11.3,Red Hat,Red Hat 6,MongoDB,MongoDB 4.4,UC,,N/A,"supported: MongoDB mgo client (version 2) 3.2.1, 3.4.2, 3.6, 4.0; MongoDB Compass client (versions 1.14, 1.15, 1.16 (3.6, 4.0); Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE)"
11.3,Suse,Suse 12 (64 bit),MongoDB,MongoDB 4.4,UC,,N/A,"supported: MongoDB mgo client (version 2) 3.2.1, 3.4.2, 3.6, 4.0; MongoDB Compass client (versions 1.14, 1.15, 1.16 (3.6, 4.0); SLES 12 PPC64LE (Little Endian system only)"
11.3,CentOS,CentOS 6x,MongoDB,MongoDB 4.4,UC,,N/A,
11.3,CentOS,CentOS 7x,MongoDB,MongoDB 4.4,UC,,N/A,
11.3,Red Hat,Red Hat 7.7,MongoDB,MongoDB 4.4,UC,,N/A,"supported: MongoDB mgo client (version 2) 3.2.1, 3.4.2, 3.6, 4.0; MongoDB Compass client (versions 1.14, 1.15, 1.16 (3.6, 4.0); Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE)"
11.3,Suse,Suse 15 (64 bit),MongoDB,MongoDB 4.4,UC,,N/A,"supported: MongoDB mgo client (version 2) 3.2.1, 3.4.2, 3.6, 4.0; MongoDB Compass client (versions 1.14, 1.15, 1.16 (3.6, 4.0); SLES 12 PPC64LE (Little Endian system only)"
11.3,Red Hat,Red Hat 8,MongoDB,MongoDB 4.4,UC,,N/A,"supported: MongoDB mgo client (version 2) 3.2.1, 3.4.2, 3.6, 4.0; MongoDB Compass client (versions 1.14, 1.15, 1.16 (3.6, 4.0); Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE)"
11.3,Red Hat,Red Hat 7.8,MongoDB,MongoDB 4.4,UC,,N/A,"supported: MongoDB mgo client (version 2) 3.2.1, 3.4.2, 3.6, 4.0; MongoDB Compass client (versions 1.14, 1.15, 1.16 (3.6, 4.0); Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE)"
11.3,Red Hat,Red Hat 7.6,MySQL,MySQL 8.0,UC,Yes,N/A,"Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE), MySQL Community Server is supported"
11.3,Red Hat,Red Hat 7.5,MySQL,MySQL 8.0,UC,Yes,N/A,"Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE), MySQL Community Server is supported"
11.3,Red Hat,Red Hat 7.4,MySQL,MySQL 8.0,UC,Yes,N/A,"Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE), MySQL Community Server is supported"
11.3,Red Hat,Red Hat 7.3,MySQL,MySQL 8.0,UC,Yes,N/A,"Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE), MySQL Community Server is supported"
11.3,Red Hat,Red Hat 7.2,MySQL,MySQL 8.0,UC,Yes,N/A,"Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE), MySQL Community Server is supported"
11.3,Red Hat,Red Hat 7.1,MySQL,MySQL 8.0,UC,Yes,N/A,"Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE), MySQL Community Server is supported"
11.3,Red Hat,Red Hat 7,MySQL,MySQL 8.0,UC,Yes,N/A,"Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE), MySQL Community Server is supported"
11.3,Red Hat,Red Hat 6,MySQL,MySQL 8.0,UC,Yes,N/A,"Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE), MySQL Community Server is supported"
11.3,Red Hat,Red Hat 5,MySQL,MySQL 8.0,UC,Yes,N/A,"Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE), MySQL Community Server is supported"
11.3,Suse,"Suse 11 (32 bit & 64 bit)",MySQL,MySQL 8.0,UC,Yes,N/A,SLES 11 PPC64 (Big Endian system only)
11.3,Suse,Suse 12 (64 bit),MySQL,MySQL 8.0,UC,Yes,N/A,SLES 12 PPC64LE (Little Endian system only)
11.3,Ubuntu,Ubuntu 14.04,MySQL,MySQL 8.0,UC,Yes,N/A,
11.3,Ubuntu,Ubuntu 16.04,MySQL,MySQL 8.0,UC,Yes,N/A,
11.3,Ubuntu,Ubuntu 18.0,MySQL,MySQL 8.0,UC,Yes,N/A,
11.3,CentOS,CentOS 6x,MySQL,MySQL 8.0,UC,Yes,N/A,MySQL Community Server is supported
11.3,CentOS,CentOS 7x,MySQL,MySQL 8.0,UC,Yes,N/A,MySQL Community Server is supported
11.3,Red Hat,Red Hat 7.7,MySQL,MySQL 8.0,UC,Yes,N/A,"Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE), MySQL Community Server is supported"
11.3,Suse,Suse 15 (64 bit),MySQL,MySQL 8.0,UC,Yes,N/A,SLES 12 PPC64LE (Little Endian system only)
11.3,Debian,Debian 9.3,MySQL,MySQL 8.0,UC,Yes,N/A,
11.3,Debian,Debian 9.4,MySQL,MySQL 8.0,UC,Yes,N/A,
11.3,Debian,Debian 10,MySQL,MySQL 8.0,UC,Yes,N/A,
11.3,Red Hat,Red Hat 7.6,MongoDB,MongoDB 4.2,UC,,N/A,"supported: MongoDB mgo client (version 2) 3.2.1, 3.4.2, 3.6, 4.0; MongoDB Compass client (versions 1.14, 1.15, 1.16 (3.6, 4.0); Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE)"
11.3,Suse,"Suse 11 (32 bit & 64 bit)",MongoDB,MongoDB 4.2,UC,,N/A,"supported: MongoDB mgo client (version 2) 3.2.1, 3.4.2, 3.6, 4.0; MongoDB Compass client (versions 1.14, 1.15, 1.16 (3.6, 4.0)"
11.3,Red Hat,Red Hat 7.5,MongoDB,MongoDB 4.2,UC,,N/A,"supported: MongoDB mgo client (version 2) 3.2.1, 3.4.2, 3.6, 4.0; MongoDB Compass client (versions 1.14, 1.15, 1.16 (3.6, 4.0); Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE)"
11.3,Red Hat,Red Hat 7.4,MongoDB,MongoDB 4.2,UC,,N/A,"supported: MongoDB mgo client (version 2) 3.2.1, 3.4.2, 3.6, 4.0; MongoDB Compass client (versions 1.14, 1.15, 1.16 (3.6, 4.0); Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE)"
11.3,Red Hat,Red Hat 7.3,MongoDB,MongoDB 4.2,UC,,N/A,"supported: MongoDB mgo client (version 2) 3.2.1, 3.4.2, 3.6, 4.0; MongoDB Compass client (versions 1.14, 1.15, 1.16 (3.6, 4.0); Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE)"
11.3,Red Hat,Red Hat 7.2,MongoDB,MongoDB 4.2,UC,,N/A,"supported: MongoDB mgo client (version 2) 3.2.1, 3.4.2, 3.6, 4.0; MongoDB Compass client (versions 1.14, 1.15, 1.16 (3.6, 4.0); Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE)"
11.3,Red Hat,Red Hat 7.1,MongoDB,MongoDB 4.2,UC,,N/A,"supported: MongoDB mgo client (version 2) 3.2.1, 3.4.2, 3.6, 4.0; MongoDB Compass client (versions 1.14, 1.15, 1.16 (3.6, 4.0); Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE)"
11.3,Red Hat,Red Hat 7,MongoDB,MongoDB 4.2,UC,,N/A,"supported: MongoDB mgo client (version 2) 3.2.1, 3.4.2, 3.6, 4.0; MongoDB Compass client (versions 1.14, 1.15, 1.16 (3.6, 4.0); Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE)"
11.3,Red Hat,Red Hat 6,MongoDB,MongoDB 4.2,UC,,N/A,"supported: MongoDB mgo client (version 2) 3.2.1, 3.4.2, 3.6, 4.0; MongoDB Compass client (versions 1.14, 1.15, 1.16 (3.6, 4.0); Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE)"
11.3,Suse,Suse 12 (64 bit),MongoDB,MongoDB 4.2,UC,,N/A,"supported: MongoDB mgo client (version 2) 3.2.1, 3.4.2, 3.6, 4.0; MongoDB Compass client (versions 1.14, 1.15, 1.16 (3.6, 4.0); SLES 12 PPC64LE (Little Endian system only)"
11.3,CentOS,CentOS 6x,MongoDB,MongoDB 4.2,UC,,N/A,
11.3,CentOS,CentOS 7x,MongoDB,MongoDB 4.2,UC,,N/A,
11.3,Red Hat,Red Hat 7.7,MongoDB,MongoDB 4.2,UC,,N/A,"supported: MongoDB mgo client (version 2) 3.2.1, 3.4.2, 3.6, 4.0; MongoDB Compass client (versions 1.14, 1.15, 1.16 (3.6, 4.0); Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE)"
11.3,Suse,Suse 15 (64 bit),MongoDB,MongoDB 4.2,UC,,N/A,"supported: MongoDB mgo client (version 2) 3.2.1, 3.4.2, 3.6, 4.0; MongoDB Compass client (versions 1.14, 1.15, 1.16 (3.6, 4.0); SLES 12 PPC64LE (Little Endian system only)"
11.3,Red Hat,Red Hat 8,MySQL,MySQL 8.0,UC,Yes,N/A,"Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE), MySQL Community Server is supported"
11.3,Red Hat,Red Hat 8,MongoDB,MongoDB 4.2,UC,,N/A,"supported: MongoDB mgo client (version 2) 3.2.1, 3.4.2, 3.6, 4.0; MongoDB Compass client (versions 1.14, 1.15, 1.16 (3.6, 4.0); Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE)"
11.3,Red Hat,Red Hat 7.8,MySQL,MySQL 8.0,UC,Yes,N/A,"Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE), MySQL Community Server is supported"
11.3,Red Hat,Red Hat 7.8,MongoDB,MongoDB 4.2,UC,,N/A,"supported: MongoDB mgo client (version 2) 3.2.1, 3.4.2, 3.6, 4.0; MongoDB Compass client (versions 1.14, 1.15, 1.16 (3.6, 4.0); Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE)"
11.3,Red Hat,Red Hat 7.9,MongoDB,MongoDB 4.4,UC,,N/A,"supported: MongoDB mgo client (version 2) 3.2.1, 3.4.2, 3.6, 4.0; MongoDB Compass client (versions 1.14, 1.15, 1.16 (3.6, 4.0); Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE)"
11.3,Red Hat,Red Hat 7.9,MySQL,MySQL 8.0,UC,Yes,N/A,"Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE), MySQL Community Server is supported"
11.3,Red Hat,Red Hat 7.9,MongoDB,MongoDB 4.2,UC,,N/A,"supported: MongoDB mgo client (version 2) 3.2.1, 3.4.2, 3.6, 4.0; MongoDB Compass client (versions 1.14, 1.15, 1.16 (3.6, 4.0); Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE)"
11.4,Red Hat,Red Hat 7.6,MongoDB,MongoDB 4.4,UC,,N/A,"supported: MongoDB mgo client (version 2) 3.2.1, 3.4.2, 3.6, 4.0; MongoDB Compass client (versions 1.14, 1.15, 1.16 (3.6, 4.0); Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE)"
11.4,Suse,"Suse 11 (32 bit & 64 bit)",MongoDB,MongoDB 4.4,UC,,N/A,"supported: MongoDB mgo client (version 2) 3.2.1, 3.4.2, 3.6, 4.0; MongoDB Compass client (versions 1.14, 1.15, 1.16 (3.6, 4.0)"
11.4,Red Hat,Red Hat 7.5,MongoDB,MongoDB 4.4,UC,,N/A,"supported: MongoDB mgo client (version 2) 3.2.1, 3.4.2, 3.6, 4.0; MongoDB Compass client (versions 1.14, 1.15, 1.16 (3.6, 4.0); Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE)"
